energy,tempo,danceability,genre,loudness,liveness,valence,artist,time_signature,speechiness,track_popularity,album,name,instrumentalness,mode,key,duration_ms,acousticness,id,popularity,release_year
0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,4.0,0.0285,90,Espresso,Espresso,6.54e-05,1.0,0.0,175459.0,0.107,2qSkIjg1o9h3YT9RAgYN75,1,2024
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4.0,0.0432,89,Mantra,Mantra,1.15e-05,0.0,10.0,136627.0,0.00434,2CspwnypzT7rcWI9RfsoSb,1,2024
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4.0,0.204,82,Cosa Nuestra,Qué Pasaría...,1.27e-05,0.0,4.0,182857.0,0.528,0l0vcZMU7AOeQmUIREoI2U,1,2024
0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,4.0,0.101,85,HARDSTONE PSYCHO,NEW DROP,0.0209,0.0,4.0,217333.0,0.189,2c7z5oRcPBbqRaBY2mLWcf,1,2024
0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4.0,0.0264,84,I Had Some Help,I Had Some Help (Feat. Morgan Wallen),0.0,1.0,7.0,178206.0,0.00757,7221xIgOnuakPdLqT0F3nP,1,2024
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,4.0,0.0412,77,Unheard,Too Sweet,0.000809,1.0,10.0,251424.0,0.0295,4IadxL6BUymXlh8RCJJu7T,1,2024
0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,4.0,0.0278,84,Submarine,No One Noticed,0.0814,1.0,7.0,236907.0,0.552,3siwsiaEoU4Kuuc9WKMUy5,1,2024
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3.0,0.0784,93,Tu Boda,Tu Boda,1.36e-05,1.0,6.0,225881.0,0.496,1cOboCuWYI2osTOfolMRS6,1,2024
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4.0,0.0295,88,Stargazing,Stargazing,0.0,0.0,1.0,172533.0,0.246,3Vr3zh0r7ALn8VLqCiRR10,1,2024
0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4.0,0.363,70,WHATCHU KNO ABOUT ME (with Sexyy Red),WHATCHU KNO ABOUT ME (with Sexyy Red),0.0,1.0,1.0,149461.0,0.00586,4VI2Y5xg4gYynQqNQNQbTN,1,2024
0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,4.0,0.0427,81,eternal sunshine,we can't be friends (wait for your love),3.04e-05,1.0,5.0,228639.0,0.0615,46kspZSY3aKmwQe7O77fCC,1,2024
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3.0,0.0603,85,Beautiful Things,Beautiful Things,0.0,1.0,10.0,180304.0,0.151,6tNQ70jh4OwmPGpYy6R2o9,1,2024
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4.0,0.284,84,LA PANTERA NEGRA (DELUXE),DEGENERE 👑 (feat. benny blanco),0.0,0.0,6.0,130880.0,0.0501,0qeIFEGRQqHoaJtLCl0U73,1,2024
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4.0,0.0442,85,Touch,Touch,1.03e-05,0.0,5.0,129883.0,0.549,6aJn7Cst74cj4lNIiPRgav,1,2024
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3.0,0.0337,89,I've Tried Everything But Therapy (Part 1),Lose Control,1.9e-05,1.0,9.0,210689.0,0.199,17phhZDn6oGtzMe56NuWvj,1,2023
0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,4.0,0.0282,82,Belong Together,Belong Together,0.0,1.0,2.0,148318.0,0.491,5uQ7de4EWjb3rkcFxyEOpu,1,2024
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,4.0,0.0469,93,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,0.000594,1.0,11.0,195824.0,0.446,6WatFBLVB0x077xWeoVc2k,1,2024
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4.0,0.0584,89,DECIDE,End of Beginning,0.00259,1.0,2.0,159246.0,0.0351,3qhlB30KknSejmIvZZLjOD,1,2022
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4.0,0.0308,84,THE TORTURED POETS DEPARTMENT,Fortnight (feat. Post Malone),1.53e-05,1.0,11.0,228965.0,0.502,2OzhQlSqBEmt7hmkYxfT6m,1,2024
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4.0,0.244,89,PRIMERA MUSA,Q U E V A S H A C E R H O Y ?,0.0,0.0,6.0,223320.0,0.103,0Sr7ssScx54yxdM2ols7nW,1,2024
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4.0,0.0776,88,Not Like Us,Not Like Us,0.0,1.0,1.0,274192.0,0.0107,6AI3ezQ4o3HUoP6Dhudph3,1,2024
0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,4.0,0.0322,85,Happy,Running Wild,0.0,1.0,8.0,151647.0,0.000175,4p7DTkyrKqT98xlIwYYfXz,1,2024
0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4.0,0.0981,84,+57,+57,0.0,0.0,1.0,298131.0,0.221,3mg9jYNC1NihbthlglzrWP,1,2024
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4.0,0.0601,87,Embrace It,Embrace It,4.13e-05,1.0,1.0,104419.0,0.475,0io16MKpbeDIdYzmGpQaES,1,2024
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4.0,0.0336,89,The Emptiness Machine,The Emptiness Machine,0.0,1.0,7.0,190428.0,0.0156,2PnlsTsOTLE5jnBnNe2K0A,1,2024
0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,4.0,0.032,92,MUSE,Who,0.0,0.0,0.0,170888.0,0.00289,7tI8dRuH2Yc6RuoTjxo4dU,1,2024
0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,4.0,0.027,81,Hotel California (2013 Remaster),Hotel California - 2013 Remaster,0.000494,1.0,2.0,391376.0,0.00574,40riOy7x9W7GXjyGp4pjAv,1,1976
0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,4.0,0.0364,83,The Razors Edge,Thunderstruck,0.0117,1.0,4.0,292880.0,0.000147,57bgtoPSgt236HzfBOd8kj,1,1990
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4.0,0.0683,82,Elephant,Seven Nation Army,0.118,0.0,4.0,232107.0,0.0039,3dPQuX8Gs42Y7b454ybpMR,1,2003
0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,4.0,0.0372,86,Pablo Honey,Creep,0.000133,1.0,7.0,238640.0,0.0097,70LcF31zb1H0PyJoS1Sx1r,1,1993
0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,4.0,0.0388,76,Nevermind (Remastered),Come As You Are,0.00161,0.0,4.0,218920.0,0.00016,4P5KoWXOxwuobLmHXLMobV,1,1991
0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,4.0,0.027,81,Californication (Deluxe Edition),Californication,0.00165,0.0,9.0,329733.0,0.0021,48UPSzbZjgc449aqz8bxox,1,1999
0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4.0,0.0522,84,Appetite For Destruction,Sweet Child O' Mine,0.0843,1.0,6.0,356067.0,0.09,7snQQk1zcKl8gZ92AnueZW,1,1987
0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,4.0,0.0926,81,Aftermath,"Paint It, Black",0.00244,1.0,1.0,202267.0,0.0493,63T7DJ1AFDD6Bn8VzG6JE8,1,1966
0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,4.0,0.0276,84,Rumours (Super Deluxe),Dreams - 2004 Remaster,0.00428,1.0,0.0,257800.0,0.0644,0ofHAoxe9vBkTCp2UQIavz,1,1977
0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,4.0,0.0367,81,The Colour And The Shape,Everlong,0.000308,0.0,11.0,250547.0,5.99e-05,5UWwZ5lm5PKu6eKsHAGxOk,1,1997
0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4.0,0.0431,77,I Love Rock 'N' Roll (Expanded Edition),I Love Rock 'N Roll,0.0,1.0,4.0,175173.0,0.326,2Cdvbe2G4hZsnhNMKyGrie,1,1981
0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,4.0,0.0283,79,Point Of Know Return (Expanded Edition),Dust in the Wind,0.00056,1.0,7.0,206267.0,0.367,6zeE5tKyr8Nu882DQhhSQI,1,1977
0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,4.0,0.0428,74,The Wall,"Another Brick in the Wall, Pt. 2",0.000694,1.0,0.0,238747.0,0.0782,4gMgiXfqyzZLMhsksGmbQV,1,1979
0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,4.0,0.0637,72,Bon Jovi,Runaway,1.91e-05,0.0,9.0,230667.0,0.00375,0X1sqQ652p1sceKM2nJlIJ,1,1984
0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,4.0,0.0602,80,Dookie,Basket Case,8.71e-06,1.0,3.0,181533.0,0.00293,6L89mwZXSOwYl76YXfX13s,1,1994
0.345,84.581,0.559,rock,-13.496,0.141,0.458,Red Hot Chili Peppers,4.0,0.0459,82,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,0.000105,1.0,4.0,264307.0,0.0576,3d9DChrdc6BOeFsbrZ3Is0,1,1991
0.814,147.193,0.673,rock,-5.411,0.343,0.728,Billy Idol,4.0,0.0367,70,Billy Idol,White Wedding - Pt. 1,0.00293,1.0,9.0,252200.0,0.0134,1gzIbdFnGJ226LTl0Cn2SX,1,1982
0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,4.0,0.0574,81,Back In Black,You Shook Me All Night Long,0.000513,1.0,7.0,210173.0,0.00287,2SiXAy7TuUkycRVbbWDEpo,1,1980
0.863,136.302,0.723,rock,-7.89,0.128,0.931,The Rolling Stones,4.0,0.0338,76,Out Of Our Heads,(I Can't Get No) Satisfaction - Mono Version,0.0317,1.0,2.0,222813.0,0.0383,2PzU4IB8Dr6mxV3lHuaG34,1,1965
0.449,100.456,0.486,rock,-10.298,0.54,0.549,David Bowie,4.0,0.0267,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Starman - 2012 Remaster,2.23e-06,1.0,5.0,254293.0,0.166,0pQskrTITgmCMyr85tb9qq,1,1972
0.902,89.74,0.412,rock,-11.6,0.405,0.422,Led Zeppelin,4.0,0.405,72,Led Zeppelin II (1994 Remaster),Whole Lotta Love - 1990 Remaster,0.131,1.0,9.0,333893.0,0.0484,0hCB0YR03f6AmQaHbwWDe8,1,1969
0.722,103.886,0.55,rock,-11.729,0.11,0.716,The Doors,4.0,0.0283,70,L.A. Woman,Riders on the Storm,0.0129,0.0,11.0,434720.0,0.25,14XWXWv5FoCbFzLksawpEe,1,1971
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4.0,0.0761,77,Ten,Even Flow,4.54e-06,0.0,10.0,292581.0,0.00178,6QewNVIDKdSl8Y3ycuHIei,1,1991
0.952,122.093,0.398,rock,-6.042,0.1,0.584,Bruce Springsteen,4.0,0.061,72,Born In The U.S.A.,Born in the U.S.A.,7.75e-05,1.0,4.0,278680.0,0.000373,0dOg1ySSI7NkpAe89Zo0b9,1,1984
0.917,171.176,0.356,rock,-6.006,0.406,0.518,The Verve,4.0,0.0479,79,Urban Hymns (Remastered 2016),Bitter Sweet Symphony - Remastered 2016,0.0,1.0,9.0,357267.0,0.0335,57iDDD9N9tTWe75x6qhStw,1,1997
0.589,124.634,0.455,rock,-8.64,0.104,0.254,Guns N' Roses,4.0,0.0328,75,Use Your Illusion I,Don't Cry (Original),0.00358,1.0,11.0,283733.0,0.00184,2N2yrmodOnVF10mKvItC9P,1,1991
0.805,113.253,0.438,rock,-6.237,0.0842,0.564,Jimi Hendrix,4.0,0.0624,72,Electric Ladyland,All Along the Watchtower,5.69e-05,1.0,8.0,240800.0,0.00255,2aoo2jlRnM3A0NyLQqMN2f,1,1968
0.239,189.507,0.446,rock,-13.945,0.0697,0.298,Phil Collins,4.0,0.0316,76,Face Value (Deluxe Editon),In The Air Tonight - 2015 Remastered,4.1e-06,1.0,0.0,336453.0,0.551,18AXbzPzBS8Y3AkgSxzJPb,1,1981
0.521,123.118,0.721,rock,-8.123,0.127,0.942,Talking Heads,4.0,0.0613,76,Talking Heads '77 (Deluxe Version),Psycho Killer - 2005 Remaster,0.00545,1.0,2.0,261413.0,0.0708,1i6N76fftMZhijOzFQ5ZtL,1,1977
0.67,129.269,0.619,rock,-10.322,0.331,0.777,Lenny Kravitz,4.0,0.0353,71,Are You Gonna Go My Way,Are You Gonna Go My Way,0.0109,0.0,11.0,211933.0,0.00165,45Ia1U4KtIjAPPU7Wv1Sea,1,1993
0.828,105.25,0.539,rock,-9.108,0.154,0.562,Metallica,4.0,0.035,70,Master of Puppets (Remastered Deluxe Box Set),Master of Puppets (Remastered),0.421,0.0,4.0,515387.0,0.00067,54bm2e3tk8cliUz3VSdCPZ,1,1986
0.487,114.965,0.73,rock,-10.991,0.0852,0.731,Fleetwood Mac,4.0,0.0303,79,Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster,0.01,1.0,4.0,226653.0,0.258,254bXAqt3zP6P50BdQvEsq,1,1987
0.697,116.109,0.741,rock,-7.028,0.133,0.774,Creedence Clearwater Revival,4.0,0.0277,84,Pendulum (Expanded Edition),Have You Ever Seen The Rain,2.28e-05,1.0,0.0,160133.0,0.0664,2LawezPeJhN4AWuSB0GtAU,1,1970
0.579,127.215,0.62,rock,-9.307,0.0858,0.691,The Cars,4.0,0.0473,69,The Cars,Just What I Needed,6.4e-05,1.0,4.0,225627.0,0.0152,4alHo6RGd0D3OUbTPExTHN,1,1978
0.912,116.761,0.502,rock,-4.556,0.106,0.72,Nirvana,4.0,0.0564,76,Nevermind (Remastered),Smells Like Teen Spirit,0.000173,1.0,1.0,301920.0,2.55e-05,5ghIJDpPoe3CfHMGu71E6T,1,1991
0.833,88.785,0.466,rock,-4.215,0.0327,0.661,Rage Against The Machine,4.0,0.304,78,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,0.0,1.0,7.0,313573.0,0.0266,59WN2psjkt1tyaxjspN8fp,1,1992
0.376,164.775,0.53,rock,-11.913,0.0926,0.188,The Beatles,4.0,0.04,75,Abbey Road (Remastered),Come Together - Remastered 2009,0.247,0.0,9.0,259947.0,0.0304,2EqlS6tkEnglzr7tkKAAYD,1,1969
0.786,126.755,0.482,rock,-5.735,0.446,0.793,Kansas,4.0,0.032,73,Leftoverture (Expanded Edition),Carry on Wayward Son,8.88e-05,1.0,7.0,323000.0,0.00321,4DMKwE2E2iYDKY01C335Uw,1,1976
0.789,129.802,0.674,rock,-6.903,0.0753,0.918,Blur,4.0,0.0676,78,Blur (Special Edition),Song 2 - 2012 Remaster,0.00708,1.0,8.0,121160.0,0.00178,1FTSo4v6BOZH9QxKc3MbVM,1,1997
0.441,81.334,0.519,rock,-14.178,0.076,0.25,Pixies,4.0,0.0353,76,Surfer Rosa (2007 Remaster),Where Is My Mind? - 2007 Remaster,0.000453,1.0,4.0,234973.0,0.0204,7wCmS9TTVUcIhRalDYFgPy,1,1988
0.836,113.375,0.743,rock,-6.465,0.384,0.82,The Clash,4.0,0.116,80,Combat Rock (Remastered),Should I Stay or Should I Go - Remastered,0.0,1.0,2.0,188987.0,0.0804,39shmbIHICJ2Wxnk1fPSdz,1,1982
0.528,109.975,0.932,rock,-6.472,0.163,0.757,Queen,4.0,0.161,71,The Game (Deluxe Remastered Version),Another One Bites The Dust - Remastered 2011,0.329,0.0,5.0,214653.0,0.115,57JVGBtBLCfHw2muk5416J,1,1980
0.905,128.019,0.602,rock,-4.046,0.117,0.411,Muse,4.0,0.0775,75,The Resistance,Uprising,0.064,1.0,2.0,304840.0,0.000202,4VqPOruhp5EdPBeR92t6lQ,1,2009
0.519,98.883,0.653,rock,-10.164,0.101,0.822,Buffalo Springfield,4.0,0.0497,76,Buffalo Springfield,For What It's Worth,0.0209,1.0,2.0,153693.0,0.406,1qRA5BS78u3gME0loMl9AA,1,1966
0.946,138.18,0.454,rock,-5.978,0.173,0.647,Van Halen,4.0,0.13,68,Van Halen (Remastered),You Really Got Me - 2015 Remaster,0.0,0.0,1.0,156147.0,0.0223,0upLyFR8Rr52ZpMp5esQoq,1,1978
0.828,105.435,0.35,rock,-5.373,0.0774,0.147,Soundgarden,4.0,0.041,76,Superunknown (Deluxe Edition),Black Hole Sun,0.000161,1.0,6.0,318587.0,0.000217,2EoOZnxNgtmZaD8uUmz2nD,1,1994
0.349,124.348,0.489,rock,-14.295,0.0866,0.622,Santana,4.0,0.0323,70,Santana's Greatest Hits,Black Magic Woman - Single Version,0.0789,0.0,2.0,196467.0,0.676,4YMQXzscifAREG0a7KNGhB,1,1994
0.872,159.925,0.587,rock,-5.066,0.622,0.735,Lenny Kravitz,4.0,0.0484,73,5,Fly Away,0.0,1.0,7.0,221333.0,0.018,1OxcIUqVmVYxT6427tbhDW,1,1998
0.808,151.008,0.577,rock,-7.04,0.221,0.869,The Police,4.0,0.039,75,Reggatta De Blanc (Remastered 2003),Message In A Bottle,1.33e-05,0.0,1.0,290280.0,0.0338,1oYYd2gnWZYrt89EBXdFiO,1,1979
0.758,112.113,0.489,rock,-6.491,0.092,0.435,David Bowie,4.0,0.0297,72,"""Heroes"" (2017 Remaster)",Heroes - 2017 Remaster,0.49,1.0,7.0,371413.0,0.000678,7Jh1bpe76CNTCgdgAdBw4Z,1,1977
0.932,112.937,0.564,rock,-10.068,0.349,0.619,Led Zeppelin,4.0,0.0554,75,Led Zeppelin III (Remaster),Immigrant Song - Remaster,0.169,1.0,11.0,146250.0,0.013,78lgmZwycJ3nzsdgmPPGNx,1,1970
0.338,177.765,0.388,rock,-10.054,0.248,0.478,Electric Light Orchestra,4.0,0.0329,76,Out of the Blue,Mr. Blue Sky,3.73e-06,1.0,10.0,303373.0,0.652,2RlgNHKcydI9sayD2Df2xp,1,1977
0.7,188.386,0.31,rock,-5.678,0.0828,0.763,AC/DC,4.0,0.047,83,Back In Black,Back In Black,0.00965,1.0,9.0,255493.0,0.011,08mG3Y1vljYA6bvDt4Wqkj,1,1980
0.691,137.145,0.548,rock,-13.553,0.144,0.667,Heart,4.0,0.0369,74,Little Queen,Barracuda,0.106,0.0,4.0,261933.0,0.015,4KfSdst7rW39C0sfhArdrz,1,1977
0.532,136.576,0.601,rock,-9.119,0.0925,0.342,Elton John,4.0,0.0286,79,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)",5.95e-06,1.0,10.0,281613.0,0.433,3gdewACMIVMEWVbyb8O9sY,1,1972
0.641,203.006,0.256,rock,-10.283,0.0853,0.382,Nirvana,4.0,0.0552,79,In Utero (Deluxe Edition),Heart-Shaped Box,0.0329,1.0,1.0,281160.0,0.199,11LmqTE2naFULdEP94AUBa,1,1993
0.755,109.535,0.667,rock,-7.246,0.0523,0.883,Eagles,4.0,0.069,68,Hotel California (2013 Remaster),Life in the Fast Lane - 2013 Remaster,6.94e-05,1.0,9.0,286220.0,0.0966,6gXrEUzibufX9xYPk3HD5p,1,1976
0.373,92.718,0.671,rock,-18.064,0.0481,0.732,TOTO,4.0,0.0323,83,Toto IV,Africa,8.01e-05,1.0,9.0,295893.0,0.257,2374M0fQpWi3dLnB54qaLX,1,1982
0.927,141.466,0.333,rock,-8.55,0.297,0.385,Blue Öyster Cult,4.0,0.0733,75,Agents Of Fortune,(Don't Fear) The Reaper,0.000208,0.0,9.0,308120.0,0.0029,5QTxFnGygVM4jFQiBovmRo,1,1976
0.787,126.879,0.767,rock,-9.897,0.0513,0.964,The Smashing Pumpkins,4.0,0.0331,77,Mellon Collie And The Infinite Sadness (Deluxe Edition),1979 - Remastered 2012,0.583,1.0,3.0,266200.0,0.0163,5QLHGv0DfpeXLNFo7SFEy1,1,1995
0.366,127.163,0.472,rock,-12.595,0.0837,0.171,Pink Floyd,4.0,0.0286,71,The Wall,Comfortably Numb,0.312,0.0,11.0,382297.0,0.15,5HNCy40Ni5BZJFw1TKzRsC,1,1979
0.864,81.394,0.437,rock,-7.842,0.242,0.749,Led Zeppelin,4.0,0.0904,69,Led Zeppelin IV (Deluxe Edition),Black Dog - Remaster,0.0314,0.0,4.0,295387.0,0.396,3qT4bUD1MaWpGrTwcvguhb,1,1971
0.584,170.411,0.509,rock,-4.907,0.384,0.685,Queens of the Stone Age,4.0,0.057,69,Songs For The Deaf,No One Knows,9.96e-05,1.0,0.0,278747.0,0.0368,6y20BV5L33R8YXM0YuI38N,1,2002
0.912,117.399,0.575,rock,-7.275,0.0562,0.843,The Doobie Brothers,4.0,0.0393,69,The Captain and Me,Long Train Runnin',0.00211,0.0,7.0,207267.0,0.0916,4nXkbcTj3nyww1cHkw5RAP,1,1973
0.611,85.387,0.654,rock,-10.45,0.405,0.786,Beck,4.0,0.119,69,Mellow Gold,Loser,0.000178,1.0,2.0,235000.0,0.0337,5PntSbMHC1ud6Vvl8x56qd,1,1994
0.482,138.453,0.529,rock,-11.709,0.0842,0.492,Don McLean,4.0,0.0599,74,American Pie,American Pie,0.0,0.0,4.0,516893.0,0.7,1fDsrQ23eTAVFElUMaf38X,1,1971
0.748,134.114,0.618,rock,-8.905,0.0473,0.663,The Police,4.0,0.358,77,Outlandos D'Amour (Remastered 2003),Roxanne,4.1e-06,1.0,0.0,191947.0,0.0384,3EYOJ48Et32uATr9ZmLnAo,1,1978
0.7,147.245,0.586,rock,-9.558,0.0318,0.897,The Knack,4.0,0.0363,69,Get The Knack,My Sharona,0.00125,1.0,0.0,295400.0,0.0589,1HOMkjp0nHMaTnfAkslCQj,1,1979
0.318,104.522,0.575,rock,-16.729,0.0934,0.385,Lou Reed,4.0,0.109,74,Transformer,Walk On the Wild Side,0.000202,1.0,0.0,254173.0,0.683,5p3JunprHCxClJjOmcLV8G,1,1972
